Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.87301E-4,7.523411152,0.370877678,0.671052632,0.037037037,0
1.00601E-3,7.823132531,0.376377719,0.666118421,0.04040404,0
1.0374E-3,8.028691888,0.385500862,0.662828947,0.043771044,0
1.04284E-3,8.340874348,0.387066168,0.657894737,0.047138047,0
1.05306E-3,8.551007285,0.389999333,0.654605263,0.047138047,0
1.06329E-3,8.763580269,0.392921431,0.651315789,0.047138047,0
1.08474E-3,9.087878397,0.399003269,0.646381579,0.047138047,0
1.11063E-3,9.307964512,0.406261729,0.643092105,0.050505051,0
1.11883E-3,9.531264211,0.408543183,0.639802632,0.053872054,0
1.12467E-3,9.755987196,0.410162442,0.636513158,0.053872054,0
1.13118E-3,10.094812786,0.411961745,0.631578947,0.060606061,0
1.13802E-3,10.322212697,0.413847631,0.628289474,0.060606061,0
1.15024E-3,10.551551463,0.417198899,0.625,0.060606061,0
1.17524E-3,10.785108178,0.424000204,0.621710526,0.060606061,0
1.19302E-3,11.022705951,0.428786194,0.618421053,0.063973064,0
1.20504E-3,11.262748517,0.432001185,0.615131579,0.063973064,0
1.23498E-3,11.508456175,0.439926096,0.611842105,0.070707071,0
1.25135E-3,11.757500895,0.444215064,0.608552632,0.077441077,0
1.26898E-3,12.010340561,0.448794222,0.605263158,0.077441077,0
1.28152E-3,12.265721834,0.452029856,0.601973684,0.077441077,0
1.31173E-3,12.526294263,0.459745765,0.598684211,0.080808081,0
1.33385E-3,12.792048613,0.465324083,0.595394737,0.087542088,0
1.34937E-3,13.061900377,0.469206698,0.592105263,0.087542088,0
1.37763E-3,13.33534335,0.476200198,0.588815789,0.094276094,0
1.40221E-3,13.613643758,0.482209651,0.585526316,0.094276094,0
1.41905E-3,13.755549059,0.486286562,0.583881579,0.094276094,0
1.42077E-3,14.039534458,0.486699286,0.580592105,0.097643098,0
1.4312E-3,14.325727535,0.489208144,0.577302632,0.104377104,0
1.43364E-3,14.612296148,0.489791186,0.574013158,0.107744108,0
1.43538E-3,14.755834129,0.49020843,0.572368421,0.111111111,0
1.45637E-3,15.045837084,0.495207714,0.569078947,0.114478114,0
1.47145E-3,15.339176735,0.498766029,0.565789474,0.114478114,0
1.47529E-3,15.633919721,0.499670815,0.5625,0.117845118,0
1.48335E-3,15.782254307,0.501558037,0.560855263,0.121212121,0
1.50392E-3,16.082542725,0.506348816,0.557565789,0.121212121,0
1.5187E-3,16.385343444,0.50976027,0.554276316,0.127946128,0
1.52192E-3,16.537534997,0.51050075,0.552631579,0.127946128,0
1.55414E-3,16.846503903,0.517849221,0.549342105,0.131313131,0
1.56013E-3,17.002517402,0.519203987,0.547697368,0.134680135,0
1.57933E-3,17.317398656,0.523515481,0.544407895,0.138047138,0
1.60172E-3,17.637554373,0.528497008,0.541118421,0.141414141,0
1.60224E-3,17.797778818,0.528613989,0.539473684,0.144781145,0
1.60671E-3,18.118803342,0.52960104,0.536184211,0.144781145,0
1.61183E-3,18.279986709,0.53073097,0.534539474,0.148148148,0
1.62352E-3,18.603648604,0.533298144,0.53125,0.151515152,0
1.63256E-3,18.766904186,0.535273318,0.529605263,0.151515152,0
1.63593E-3,19.093832825,0.536009023,0.526315789,0.154882155,0
1.63652E-3,19.257484636,0.536136839,0.524671053,0.154882155,0
1.64335E-3,19.586040575,0.537620952,0.521381579,0.154882155,0
1.64822E-3,19.750862566,0.538677724,0.519736842,0.158249158,0
1.65103E-3,20.080899663,0.539286794,0.516447368,0.161616162,0
1.67309E-3,20.415302081,0.544031439,0.513157895,0.164983165,0
1.67475E-3,20.582777293,0.544387384,0.511513158,0.164983165,0
1.68837E-3,20.751614507,0.547290873,0.509868421,0.168350168,0
1.71483E-3,21.092892896,0.552879124,0.506578947,0.175084175,0
1.71532E-3,21.264424398,0.552980111,0.504934211,0.175084175,0
