x,y,species cloglog values
173.0,173.0,0.74930465
174.0,174.0,0.08133133
175.0,175.0,0.47697717
176.0,176.0,0.060614727
177.0,177.0,0.61190623
178.0,178.0,0.18357266
179.0,179.0,0.07922253
180.0,180.0,0.4171989
181.0,181.0,0.25345623
182.0,182.0,0.06411759
183.0,183.0,0.10553849
184.0,184.0,0.0043581333
185.0,185.0,0.011533803
186.0,186.0,0.002999151
187.0,187.0,0.37087768
188.0,188.0,0.09868203
189.0,189.0,0.20078263
190.0,190.0,0.6971892
191.0,191.0,0.0024261342
192.0,192.0,0.0036784238
193.0,193.0,0.20218176
194.0,194.0,0.5910336
195.0,195.0,0.5720687
196.0,196.0,0.14555776
197.0,197.0,0.528614
198.0,198.0,0.015384608
199.0,199.0,0.15681706
200.0,200.0,0.6267531
201.0,201.0,0.6941002
202.0,202.0,0.24329251
203.0,203.0,0.3870662
204.0,204.0,0.54403144
205.0,205.0,0.48220965
206.0,206.0,0.007276582
207.0,207.0,0.052174367
208.0,208.0,0.060542747
209.0,209.0,0.0049784314
210.0,210.0,0.0817592
211.0,211.0,0.18075454
212.0,212.0,0.7843362
213.0,213.0,0.027469197
214.0,214.0,0.3504476
215.0,215.0,0.1959035
216.0,216.0,0.1837538
217.0,217.0,0.46914977
218.0,218.0,0.28466204
219.0,219.0,0.29865086
220.0,220.0,0.0033349579
221.0,221.0,0.1906174
222.0,222.0,0.4762002
223.0,223.0,0.24536917
224.0,224.0,0.3886272
225.0,225.0,0.02095687
226.0,226.0,0.28528467
227.0,227.0,0.501558
228.0,228.0,0.60432273
229.0,229.0,0.20078637
230.0,230.0,0.18844837
231.0,231.0,0.3382965
232.0,232.0,0.22993027
233.0,233.0,0.39268023
234.0,234.0,0.0039068246
235.0,235.0,0.82753545
236.0,236.0,0.12173583
237.0,237.0,0.038398083
238.0,238.0,0.017296204
239.0,239.0,0.039474983
240.0,240.0,0.57727814
241.0,241.0,0.6512681
242.0,242.0,0.0045062727
243.0,243.0,0.11087142
244.0,244.0,0.40055206
245.0,245.0,0.18295477
246.0,246.0,0.4062617
247.0,247.0,0.03928544
248.0,248.0,0.78623486
249.0,249.0,0.28586933
250.0,250.0,0.050994717
251.0,251.0,0.105582826
252.0,252.0,9.5140026E-4
253.0,253.0,0.25410122
254.0,254.0,0.095073014
255.0,255.0,0.5840927
256.0,256.0,0.3575542
257.0,257.0,0.5657793
258.0,258.0,0.26705083
259.0,259.0,0.28985795
260.0,260.0,0.5310095
261.0,261.0,0.5051985
262.0,262.0,0.01987408
263.0,263.0,0.15597156
264.0,264.0,0.37219048
265.0,265.0,0.16192703
266.0,266.0,0.031042514
267.0,267.0,0.7487924
268.0,268.0,0.019809384
269.0,269.0,0.8415992
270.0,270.0,0.6415833
271.0,271.0,0.074628465
272.0,272.0,0.60027486
273.0,273.0,0.3866958
274.0,274.0,0.2709429
275.0,275.0,0.6968697
276.0,276.0,0.0028271964
277.0,277.0,0.18138763
278.0,278.0,0.2160045
279.0,279.0,0.12661992
280.0,280.0,0.26219067
281.0,281.0,0.332949
282.0,282.0,0.011975024
283.0,283.0,0.7522998
284.0,284.0,0.607017
285.0,285.0,0.30378193
286.0,286.0,0.19194281
287.0,287.0,0.06785017
288.0,288.0,0.058496412
289.0,289.0,0.007225705
290.0,290.0,0.0024259393
291.0,291.0,0.22584604
292.0,292.0,0.15802903
293.0,293.0,0.72467834
294.0,294.0,0.1299961
295.0,295.0,0.44421506
296.0,296.0,0.41525802
297.0,297.0,0.5213099
298.0,298.0,0.35160094
299.0,299.0,0.00966735
300.0,300.0,0.03919519
301.0,301.0,0.17766617
302.0,302.0,0.23379843
303.0,303.0,0.48941085
304.0,304.0,0.2549177
305.0,305.0,0.063993536
306.0,306.0,0.20125677
307.0,307.0,0.19399585
308.0,308.0,0.53613687
309.0,309.0,0.5973327
310.0,310.0,0.27738002
311.0,311.0,0.49020842
