x,y,species cloglog values
309.0,309.0,0.3926126
310.0,310.0,0.56993383
311.0,311.0,0.20785768
312.0,312.0,0.7244101
313.0,313.0,0.35426858
314.0,314.0,0.31275928
315.0,315.0,0.72987115
316.0,316.0,0.272906
317.0,317.0,0.38203564
318.0,318.0,0.13601577
319.0,319.0,0.32140973
320.0,320.0,0.22664738
321.0,321.0,0.35731575
322.0,322.0,0.6272053
323.0,323.0,0.45455614
324.0,324.0,0.22992335
325.0,325.0,0.5380253
326.0,326.0,0.5884619
327.0,327.0,0.7126889
328.0,328.0,0.33344606
329.0,329.0,0.0051295133
330.0,330.0,0.10257904
331.0,331.0,0.18408152
332.0,332.0,0.517644
333.0,333.0,0.49850914
334.0,334.0,0.2663712
335.0,335.0,0.26894256
336.0,336.0,0.034666207
337.0,337.0,0.014563767
338.0,338.0,0.38037887
339.0,339.0,0.005675902
340.0,340.0,0.54867166
341.0,341.0,0.13128644
342.0,342.0,0.39194503
343.0,343.0,0.30780506
344.0,344.0,0.55880034
345.0,345.0,0.61972046
346.0,346.0,0.40650144
347.0,347.0,0.7057756
348.0,348.0,0.007511574
349.0,349.0,0.62570107
350.0,350.0,0.57750505
351.0,351.0,0.26706967
352.0,352.0,0.4836911
353.0,353.0,0.33156714
354.0,354.0,0.2548431
355.0,355.0,0.6505208
356.0,356.0,0.52510303
357.0,357.0,0.039530013
358.0,358.0,0.6000935
359.0,359.0,0.45298123
360.0,360.0,0.6257102
361.0,361.0,0.47961846
362.0,362.0,0.0075329323
363.0,363.0,0.35108647
364.0,364.0,0.53107196
365.0,365.0,0.7445817
366.0,366.0,0.15870178
367.0,367.0,0.61979675
368.0,368.0,0.24541877
369.0,369.0,0.64114785
370.0,370.0,0.65122926
371.0,371.0,0.45453784
372.0,372.0,0.65415204
373.0,373.0,0.69574225
374.0,374.0,0.1401864
375.0,375.0,0.5985751
376.0,376.0,0.57334274
377.0,377.0,0.53698236
378.0,378.0,0.31329018
379.0,379.0,0.32481432
380.0,380.0,0.030870674
381.0,381.0,0.63654685
382.0,382.0,0.7169874
383.0,383.0,0.5566509
384.0,384.0,0.7096541
385.0,385.0,0.60339475
386.0,386.0,0.5002023
387.0,387.0,0.02997548
388.0,388.0,0.6546112
389.0,389.0,0.3950019
390.0,390.0,0.44567522
391.0,391.0,0.077241264
392.0,392.0,0.0066043674
393.0,393.0,0.52754503
394.0,394.0,0.556994
395.0,395.0,0.44859987
396.0,396.0,0.25579762
397.0,397.0,0.51422507
398.0,398.0,0.03590354
399.0,399.0,0.2008577
400.0,400.0,0.013347343
401.0,401.0,0.5187377
402.0,402.0,0.40025762
403.0,403.0,0.73621273
404.0,404.0,0.4974286
405.0,405.0,0.4201226
406.0,406.0,0.715418
407.0,407.0,0.7643171
408.0,408.0,0.38987145
409.0,409.0,0.385212
410.0,410.0,0.21624114
411.0,411.0,0.30654302
412.0,412.0,0.2739459
413.0,413.0,0.7703904
414.0,414.0,0.4821534
415.0,415.0,0.8170371
416.0,416.0,0.27770528
417.0,417.0,0.57392126
418.0,418.0,0.55039585
419.0,419.0,0.6086694
420.0,420.0,0.51708907
421.0,421.0,0.13217485
422.0,422.0,0.5759096
423.0,423.0,0.5237174
424.0,424.0,0.4055469
425.0,425.0,0.49756715
426.0,426.0,0.21452785
427.0,427.0,0.65639484
428.0,428.0,0.3487986
429.0,429.0,0.3416169
430.0,430.0,0.18274708
431.0,431.0,0.29472777
432.0,432.0,0.6990092
433.0,433.0,0.58437127
434.0,434.0,0.1419108
435.0,435.0,0.05514745
436.0,436.0,0.009653241
437.0,437.0,0.33911568
438.0,438.0,0.30295202
439.0,439.0,0.32209778
440.0,440.0,0.20744084
441.0,441.0,0.51234215
442.0,442.0,0.51257354
443.0,443.0,0.6135596
444.0,444.0,0.040936943
445.0,445.0,0.5153661
446.0,446.0,0.29978272
447.0,447.0,0.034587856
448.0,448.0,0.57182366
449.0,449.0,0.26835385
450.0,450.0,0.64115393
451.0,451.0,0.3668139
452.0,452.0,0.7462719
453.0,453.0,0.34285098
454.0,454.0,0.04616919
455.0,455.0,0.28718984
456.0,456.0,0.031787705
457.0,457.0,0.42294794
458.0,458.0,0.08305997
459.0,459.0,0.75448394
460.0,460.0,0.21112837
461.0,461.0,0.30213574
462.0,462.0,0.0076927994
463.0,463.0,0.35606968
464.0,464.0,0.3869137
465.0,465.0,0.11650693
466.0,466.0,0.46999362
467.0,467.0,0.49561235
468.0,468.0,0.24644563
469.0,469.0,0.021712167
470.0,470.0,0.045065396
471.0,471.0,0.70234126
472.0,472.0,0.230689
473.0,473.0,0.3703552
474.0,474.0,0.7626498
