Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.2572E-4,22.011261132,0.53272151,0.510198745,0.201338006,0
1.26231E-4,22.250532819,0.534165997,0.507714435,0.205479452,0
1.26786E-4,22.503594886,0.5357281,0.505099372,0.207390889,0
1.27542E-4,22.758198544,0.537847036,0.50248431,0.209620898,0
1.28003E-4,23.000956988,0.539133018,0.5,0.212488054,0
1.28722E-4,23.257666909,0.541134353,0.497384937,0.213443772,0
1.29382E-4,23.502817749,0.542963263,0.494900628,0.215992354,0
1.30107E-4,23.76242893,0.544965408,0.492285565,0.219178082,0
1.30882E-4,24.01032347,0.547094752,0.489801255,0.222045237,0
1.31355E-4,24.25931117,0.548389575,0.487316946,0.223319529,0
1.32027E-4,24.509495147,0.550221158,0.484832636,0.225868111,0
1.32657E-4,24.760944447,0.551932719,0.482348326,0.227460975,0
1.33238E-4,25.000457288,0.553507233,0.47999477,0.230646703,0
1.33852E-4,25.254159171,0.555162434,0.47751046,0.233832431,0
1.34632E-4,25.509319802,0.557257916,0.475026151,0.235425295,0
1.35129E-4,25.752101401,0.558585592,0.472672594,0.237655304,0
1.35547E-4,26.009150828,0.559701087,0.470188285,0.238611023,0
1.35993E-4,26.253530719,0.560889591,0.467834728,0.240841032,0
1.36444E-4,26.51239427,0.562084408,0.465350418,0.243708187,0
1.37001E-4,26.758441377,0.563559959,0.462996862,0.245301051,0
1.37337E-4,27.005408929,0.564445028,0.460643305,0.247849634,0
1.37928E-4,27.253238932,0.56599999,0.458289749,0.250398216,0
1.38476E-4,27.502035192,0.567436449,0.455936192,0.25199108,0
1.39017E-4,27.751818569,0.568851189,0.453582636,0.25422109,0
1.39533E-4,28.002589134,0.570195781,0.451229079,0.256132526,0
1.40391E-4,28.254516792,0.572422557,0.448875523,0.259636827,0
1.40884E-4,28.507734797,0.573695433,0.446521967,0.262503982,0
1.41651E-4,28.762235428,0.575668738,0.44416841,0.265052565,0
1.42266E-4,29.003426928,0.577245575,0.441945607,0.267601147,0
1.42727E-4,29.259969459,0.578423997,0.43959205,0.270149729,0
1.43392E-4,29.50322964,0.580116591,0.437369247,0.272698312,0
1.43847E-4,29.761757241,0.581270526,0.43501569,0.274291176,0
1.44327E-4,30.006767987,0.582487208,0.432792887,0.276839758,0
1.44844E-4,30.252477746,0.583791644,0.430570084,0.279706913,0
1.45234E-4,30.513534173,0.584771522,0.428216527,0.281936923,0
1.45809E-4,30.761095019,0.586213578,0.425993724,0.285122651,0
1.46658E-4,31.009788089,0.588335433,0.423770921,0.287034087,0
1.47068E-4,31.259449696,0.589354296,0.421548117,0.288945524,0
1.47724E-4,31.510100216,0.590981216,0.419325314,0.291812679,0
1.48178E-4,31.761622983,0.592103691,0.41710251,0.293724116,0
1.48948E-4,32.014323201,0.593999793,0.414879707,0.295954126,0
1.49328E-4,32.253017005,0.594933617,0.412787657,0.298502708,0
1.49784E-4,32.507199998,0.596048308,0.410564854,0.300095572,0
1.5037E-4,32.762295132,0.59748041,0.40834205,0.301369863,0
1.51289E-4,33.003720543,0.59971267,0.40625,0.304555591,0
1.52006E-4,33.261561198,0.601444411,0.404027197,0.307104173,0
1.52713E-4,33.505372957,0.603147756,0.401935146,0.308697037,0
1.53303E-4,33.750192783,0.604561801,0.399843096,0.310927047,0
1.54005E-4,34.011415884,0.606238234,0.397620293,0.314431348,0
1.54681E-4,34.258401041,0.607845547,0.395528243,0.317935648,0
1.55229E-4,34.506466636,0.609143417,0.393436192,0.320484231,0
1.55714E-4,34.755292737,0.61028966,0.391344142,0.323032813,0
1.56208E-4,35.004797955,0.611453336,0.389252092,0.324307104,0
1.56582E-4,35.254968719,0.612330729,0.387160042,0.326218541,0
1.57209E-4,35.506090619,0.613799109,0.385067992,0.328129978,0
1.57571E-4,35.757983989,0.614643214,0.382975941,0.331315706,0
1.5804E-4,36.010473829,0.615736227,0.380883891,0.334501434,0
1.58641E-4,36.26379889,0.617130455,0.378791841,0.337368589,0
1.59046E-4,36.502048618,0.618068293,0.376830544,0.339280025,0
1.59449E-4,36.756839917,0.618998898,0.374738494,0.342147181,0
1.59891E-4,37.012315234,0.620016469,0.372646444,0.34437719,0
1.60405E-4,37.252565578,0.621196852,0.370685146,0.347244345,0
1.61039E-4,37.509743443,0.622648514,0.368593096,0.349792928,0
1.6151E-4,37.751667986,0.623721399,0.366631799,0.352660083,0
1.61854E-4,38.010365338,0.624503639,0.364539749,0.353615801,0
1.62167E-4,38.253467083,0.625214749,0.362578452,0.356164384,0
1.62683E-4,38.513317988,0.626383702,0.360486402,0.359031539,0
1.63119E-4,38.757616869,0.627367686,0.358525105,0.361898694,0
1.6382E-4,39.002680602,0.628944639,0.356563808,0.364765849,0
1.64252E-4,39.26508513,0.629913453,0.354471757,0.367314431,0
1.64584E-4,39.511715797,0.630657925,0.35251046,0.370181586,0
1.65114E-4,39.758964744,0.63183988,0.350549163,0.373685887,0
1.65717E-4,40.006996782,0.63318112,0.348587866,0.375915897,0
1.6619E-4,40.25594309,0.634229514,0.346626569,0.377190188,0
1.66688E-4,40.505635315,0.635329399,0.344665272,0.379420198,0
1.67212E-4,40.756171401,0.636484823,0.342703975,0.382605925,0
1.67733E-4,41.007391449,0.637628195,0.340742678,0.385473081,0
1.68047E-4,41.259203172,0.638316538,0.338781381,0.388977381,0
1.68604E-4,41.51167154,0.639534218,0.336820084,0.391525964,0
1.69177E-4,41.764992989,0.640781767,0.334858787,0.395030264,0
1.69865E-4,42.00235811,0.642274928,0.333028243,0.397260274,0
1.70374E-4,42.257482967,0.643375271,0.331066946,0.400446002,0
1.70921E-4,42.513541988,0.644552127,0.329105649,0.403950303,0
1.71396E-4,42.753139906,0.645572443,0.327275105,0.408091749,0
1.71827E-4,43.010570908,0.646497328,0.325313808,0.41159605,0
1.72103E-4,43.251289522,0.647087563,0.323483264,0.41510035,0
1.72592E-4,43.50980432,0.648129112,0.321521967,0.417967506,0
1.73291E-4,43.751973301,0.649615657,0.319691423,0.419878942,0
1.73752E-4,44.012237763,0.650591117,0.317730126,0.422108952,0
1.74089E-4,44.25577862,0.65130275,0.315899582,0.424657534,0
1.74448E-4,44.51722104,0.652060306,0.313938285,0.428161835,0
1.75056E-4,44.761920071,0.653336969,0.312107741,0.430710417,0
1.75478E-4,45.00738081,0.654221314,0.310277197,0.433259,0
1.76192E-4,45.25347275,0.655712414,0.308446653,0.435489009,0
1.76755E-4,45.500551743,0.656883483,0.306616109,0.439311883,0
1.77419E-4,45.766199448,0.65826062,0.304654812,0.441541892,0
1.77852E-4,46.014907873,0.659154,0.302824268,0.444090475,0
1.78319E-4,46.264231229,0.660116922,0.300993724,0.44695763,0
1.789E-4,46.514359479,0.661307977,0.29916318,0.449187639,0
1.79982E-4,46.765816119,0.663520414,0.297332636,0.451417649,0
1.80594E-4,47.000192033,0.664762764,0.295632845,0.454284804,0
1.81035E-4,47.253367377,0.66565686,0.293802301,0.457789105,0
