"lon" "lat" "w.dist" "w.lon" "w.lat" "ID" "temp" "rain" "tpi" "slope" "aspect"
"210" 11.5458333333333 47.5791666666667 179.497043061269 11.544954397343 47.5806661577437 2124 78 972 -35.75 1.96879111970184 4
"212" 10.4541666666667 48.6041666666667 3773.45779328989 10.4455279809715 48.5707207009742 1919 84 754 1.375 0.105365650038584 3
"213" 11.9958333333333 49.0708333333333 2640.16363596375 11.9596312379232 49.0707774554942 1873 81 686 -6.625 1.67710126865441 1
"215" 11.8541666666667 48.0875 14628.5528022732 11.7913609391615 48.2121657617378 1971 78 936 -1.75 0.115576338135624 7
"216" 12.3458333333333 48.3708333333333 4118.56192938863 12.3071398261755 48.3974504536151 1951 75 918 10.625 0.232593310402177 4
"217" 11.0041666666667 49.5708333333333 1703.57849978055 10.9806074606505 49.5717133397025 1850 89 640 -2.5 0.600491249115036 8
"220" 11.1291666666667 47.9958333333333 5262.01140811967 11.127139121936 47.9485283275348 2028 84 937 0.75 1.59027734073176e-15 3
"221" 11.5791666666667 48.4208333333333 1080.37512404236 11.5789320837715 48.4305372651393 1966 78 839 9.75 1.27686593915736 2
"222" 12.7625 49.1041666666667 6136.38131340828 12.771111465795 49.1590537229749 1867 73 786 15.375 1.5781619165796 1
"223" 12.1125 48.3708333333333 3431.34292014186 12.1073332315884 48.3401679071771 1951 77 882 11.25 0.215446664232968 6
"226" 12.5125 49.4291666666667 8783.19845069294 12.4324998074061 49.3699149839353 1859 71 697 5.75 3.12747290641929 6
"227" 11.9625 50.3208333333333 2481.26850466402 11.9368333003432 50.3057517367028 1771 67 726 -5.75 1.12401700946986 6
"229" 11.9375 48.0875 9648.89465349162 12.0456390929668 48.1353073964718 1982 77 948 -4.25 1.06420092357772 4
"230" 9.4375 50.0625 2515.86146970443 9.46824000329247 50.0735206435446 1816 86 727 4 2.69577838836995 3
"231" 10.7041666666667 49.4041666666667 3417.68278045498 10.7174997485287 49.4336395496432 549 83 690 7 0.642741874107571 5
"232" 11.3625 49.2375 3812.45046733424 11.3159722429602 49.2532233549766 1864 82 703 -9.875 0.662866687547562 3
"234" 10.2958333333333 49.2041666666667 2564.97208229086 10.2629311853211 49.1958774684546 643 79 736 14.625 1.43001960754739 3
"236" 11.5375 48.9125 10656.4824086268 11.644389240916 48.97750088226 1882 76 768 -15.5 1.00207173905467 3
"237" 9.87916666666667 50.0541666666667 6022.86672509777 9.90108302883584 50.1064453692334 1807 87 662 31 2.0437260977049 7
"238" 12.0791666666667 49.1458333333333 3862.71394482701 12.1230277922553 49.1263884735868 1871 83 651 -11.125 0.436826514032551 8
"239" 12.1375 49.4958333333333 2621.25235315221 12.1730003393789 49.4912796380925 1858 76 662 -6.875 1.46523188422267 3
"241" 12.9208333333333 49.2958333333333 642.873104184245 12.927488673715 49.2996430963907 1861 75 727 15.375 1.13003889261292 8
"242" 11.3291666666667 48.2708333333333 4520.00720100868 11.3591107387934 48.2354431917269 1988 80 900 13.5 0.872977572633296 6
"243" 11.9958333333333 48.1208333333333 4041.81097957994 12.0456390929668 48.1353073964718 1982 75 949 15.75 0.206860511097757 8
"244" 11.0208333333333 47.9458333333333 57.3402465198807 11.0215448856354 47.9460290024041 2033 77 999 -6.5 0.75524219848742 1
"245" 10.5541666666667 48.1375 1394.91266807717 10.5723048445556 48.134260749797 1983 74 937 16 0.64968019276188 6
"246" 11.5375 50.1625 1971.96541482108 11.5156320895322 50.1733444107041 1798 71 736 19.625 5.41634729382112 6
"247" 11.8541666666667 49.9541666666667 2489.57908602011 11.8792782618974 49.9696121984189 1836 60 828 35.625 1.26420102231915 4
"248" 13.5958333333333 48.8375 759.104560818881 13.5858391539437 48.8392973656869 1898 66 998 -18.25 1.72708437414605 7
"249" 11.7875 48.7458333333333 2591.89436673407 11.8205833644032 48.7378044570743 1923 79 760 3.375 1.01794719438536 2
"251" 11.6458333333333 49.0791666666667 7065.43009508385 11.5821666582719 49.0313605925487 1882 79 726 -3.625 0.389652314016979 7
"252" 10.1875 47.5458333333333 1139.05892557512 10.1728056943824 47.5482788525265 2136 40 1146 130.375 6.99933059020329 4
"253" 13.5625 48.5958333333333 2593.08698886752 13.5416765945395 48.5770474762431 1942 80 979 -8.75 1.96601711751462 1
"254" 9.62083333333333 49.9458333333333 1627.5664891792 9.59897237499793 49.9497222155736 1841 91 668 -25.75 0.666092705521578 4
"255" 11.7958333333333 49.4958333333333 1964.39948425847 11.820245073361 49.5035821081506 1866 82 649 -13.125 0.179406591115738 8
"256" 13.4125 48.3958333333333 5462.81325476776 13.3591948187851 48.4298056969862 1941 90 997 NA NA NA
"257" 12.3291666666667 48.3125 813.588193027129 12.3394441414517 48.3099441598928 1954 78 918 11.25 0.696471700284494 5
"258" 10.0208333333333 49.5541666666667 4260.58097829643 10.0009442070794 49.5181121582328 577 90 665 -0.5 0.529335871782852 2
"260" 10.2125 48.1791666666667 1918.34453359826 10.2354011029806 48.1711826096755 2034 76 889 3.625 0.745714850112242 7
"263" 12.1875 47.7791666666667 3952.58231136272 12.1349210898097 47.7756661976921 2116 75 1011 57.875 6.98990492326524 8
"264" 11.8875 47.8541666666667 1063.22896663416 11.8734236654341 47.85275081564 2101 76 982 14.625 0.879035456663348 8
"265" 10.7375 49.5125 3665.12760375811 10.7017498108594 49.5358314759857 539 83 683 3.75 0.213903232825146 3
"266" 9.90416666666667 50.1875 5498.94333038582 9.94969458690155 50.147640188984 1807 87 644 -15.625 2.34252285570755 4
"268" 12.2291666666667 50.0041666666667 4629.16355961416 12.1849983554758 49.9737878433357 1824 71 656 -14.25 1.40904585088506 5
"269" 13.7208333333333 48.5791666666667 6118.73847796752 13.6505375751654 48.5499993070937 1942 73 1032 -8.875 2.15838859141721 4
"270" 10.3291666666667 49.5541666666667 8005.63562286449 10.3495273168921 49.4834174267585 547 85 670 -8.625 1.45522580871727 1
"272" 11.1791666666667 48.5708333333333 3627.11730433747 11.151010772551 48.5975679494939 1920 83 800 6 1.37337188991009 8
"273" 10.5875 48.2375 3488.17317413015 10.5437133195638 48.2260478824505 1983 81 871 -13.125 0.869608068306378 3
"274" 11.2708333333333 48.3625 3744.55974130087 11.291138586905 48.3316649858158 1966 81 865 2 0.386306715836376 4
"276" 10.8458333333333 48.0791666666667 2140.67211737674 10.8736114871625 48.084083480295 1994 80 938 0.25 0.547150472584067 2
"279" 11.7625 50.1291666666667 6022.1859158266 11.8455275854632 50.1201095028141 1799 69 740 -5.25 1.46851068945305 6
"280" 11.9541666666667 48.0041666666667 4862.24066970617 12.016888600745 47.9923324813962 2039 79 952 7.5 0.681813733652017 7
"282" 12.7375 48.6541666666667 3167.47378330228 12.7208051446573 48.6804161166357 1905 80 872 10.25 0.164354138469792 7
"283" 11.7541666666667 49.8208333333333 1607.14449621648 11.7441756593551 49.807915425755 1849 78 671 -16.75 1.4638565346566 6
"284" 10.3875 50.3541666666667 1452.11991946391 10.3920831257004 50.3414459002196 1761 79 637 1.375 1.93499622849559 4
"290" 13.6125 48.9291666666667 100.892310345442 13.6137937687689 48.9294812377067 1898 53 1082 -31 1.7419264255801 5
"292" 12.0125 48.1291666666667 2559.44968574957 12.0456390929668 48.1353073964718 1982 76 944 -0.125 0.91824069953042 1
"293" 11.9125 50.0541666666667 4362.59340608728 11.9236669927837 50.0927237796504 1805 65 769 -3.5 1.74689633486088 3
"297" 10.8041666666667 50.0208333333333 1957.01383884617 10.8313601274468 50.0188898324127 1822 82 640 -17.875 3.61561436391185 2
"300" 13.4625 48.9041666666667 6798.52394452823 13.3716669293151 48.8918876586219 1897 63 1002 -29.125 2.09739118209768 6
"304" 11.5708333333333 50.0375 5554.64799414453 11.5063334290495 50.0098038061268 1832 76 700 53.625 2.99274443822579 6
"309" 9.62083333333333 50.1625 1702.58501286022 9.64152710172735 50.1701298022216 1808 84 720 71 1.81874283114063 6
"310" 10.9208333333333 47.8708333333333 200.286027549761 10.9235107150754 47.8709406521381 2041 79 988 -26.625 1.59704178941943 2
"311" 13.3958333333333 48.5708333333333 1382.90305309976 13.4080276958602 48.5802765413803 1917 86 943 -5.25 1.62701694156997 1
"313" 13.5708333333333 48.8791666666667 2375.6720537058 13.6020278881041 48.8849182833258 1898 58 1055 13.25 2.06269339526642 5
"314" 11.1791666666667 49.2708333333333 7242.29381763956 11.0807599012798 49.2603940511883 545 85 685 -1.625 0.806188851675754 8
"317" 12.5125 47.8958333333333 4039.96910220927 12.519805904116 47.8598327027657 2080 82 1035 -2.75 0.258551019730375 6
"318" 12.6458333333333 47.9541666666667 3183.98778312508 12.6187496763206 47.9320564098348 2049 77 1086 6.875 0.668768755308463 8
"319" 9.3375 49.6625 2267.46764525255 9.35858345378283 49.6776122890106 534 91 724 -17.125 2.09303046520681 3
"324" 11.3041666666667 48.6625 1213.76816826172 11.3103123999243 48.6523804568839 1920 85 760 -0.125 0.046634888438273 1
"331" 12.4958333333333 48.2875 1240.62876125803 12.50227741879 48.277213269248 1982 81 928 1 1.51226662532605 5
