Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.67561E-5,7.755463346,0.406022999,0.750877517,0.072871737,0
5.7639E-5,8.001670225,0.410816933,0.746905598,0.075595914,0
5.824E-5,8.251034246,0.414057479,0.742933678,0.079001135,0
5.88535E-5,8.502821376,0.417347521,0.738961759,0.081271283,0
5.95563E-5,8.751630143,0.421094037,0.735082209,0.083314415,0
6.02039E-5,9.003098515,0.424524588,0.73120266,0.086492622,0
6.06835E-5,9.250984635,0.427052305,0.727415481,0.089216799,0
6.12672E-5,9.500782251,0.430113312,0.723628302,0.090578888,0
6.18226E-5,9.753121682,0.433011324,0.719841123,0.094438138,0
6.23971E-5,10.00150742,0.435992889,0.716146314,0.096935301,0
6.29257E-5,10.252155159,0.438722768,0.712451506,0.100340522,0
6.34634E-5,10.505015274,0.441485895,0.708756697,0.10261067,0
6.40054E-5,10.753534287,0.444256985,0.705154258,0.104426788,0
6.4588E-5,11.004353407,0.447220802,0.70155182,0.106696935,0
6.5104E-5,11.250806479,0.449832749,0.698041751,0.108967083,0
6.54426E-5,11.505350031,0.451539895,0.694439313,0.112372304,0
6.6048E-5,11.755276922,0.454578869,0.690929244,0.115096481,0
6.65145E-5,12.000689364,0.456909207,0.687511546,0.118274688,0
6.68926E-5,12.25412969,0.458790426,0.684001478,0.120317821,0
6.74526E-5,12.502623367,0.461564879,0.68058378,0.122360953,0
6.78898E-5,12.752957704,0.463721035,0.677166082,0.125312145,0
6.82913E-5,13.004905973,0.465693936,0.673748384,0.127355278,0
6.87908E-5,13.251709883,0.468137862,0.670423056,0.13030647,0
6.92277E-5,13.500177738,0.470266204,0.667097728,0.133484677,0
6.96279E-5,13.750022599,0.472208479,0.6637724,0.136435868,0
7.01914E-5,14.001855029,0.474930828,0.660447072,0.138706016,0
7.06803E-5,14.25546341,0.477281643,0.657121744,0.141430193,0
7.10621E-5,14.503510185,0.479110171,0.653888786,0.143927355,0
7.1632E-5,14.753394633,0.481827801,0.650655829,0.147332577,0
7.20189E-5,15.004944755,0.483664562,0.647422871,0.149602724,0
7.24969E-5,15.250679403,0.485924737,0.644282283,0.151645857,0
7.31169E-5,15.505375436,0.48884157,0.641049326,0.154597049,0
7.35425E-5,15.754523546,0.490834537,0.637908738,0.156867196,0
7.39782E-5,16.00525559,0.492866822,0.634768151,0.159591373,0
7.43203E-5,16.257370248,0.494456348,0.631627563,0.162088536,0
7.46898E-5,16.50318779,0.496167888,0.628579346,0.164358683,0
7.50397E-5,16.75027154,0.497783404,0.625531129,0.165947787,0
7.56124E-5,17.006541283,0.500416386,0.622390541,0.168444949,0
7.61586E-5,17.256919482,0.502914445,0.619342324,0.170488082,0
